category,ru,mn,en,image_url,example_ru
general,вода,ус,water,,Я пью воду каждый день.
general,книга,ном,book,,Это моя книга.
general,город,хот,city,,Москва — большой город.
general,дом,байшин,house,,Это мой дом.
general,студент,оюутан,student,,Он студент университета.
general,учитель,багш,teacher,,Учитель объясняет новую тему.
general,машина,машин,car,,Машина едет быстро.
general,улица,гудамж,street,,Мы идём по улице.
general,школа,сургууль,school,,Дети идут в школу.
general,время,цаг,time,,У меня мало времени.

engineering,двигатель,хөдөлгүүр,engine,,Двигатель работает стабильно.
engineering,система,систем,system,,Эта система управляет процессом.
engineering,деталь,эд анги,part,,Эта деталь используется в механизме.
engineering,инструмент,багаж,tool,,Инженер использует специальный инструмент.
engineering,алгоритм,алгоритм,algorithm,,Алгоритм помогает решить задачу.
engineering,устройство,төхөөрөмж,device,,Это устройство измеряет температуру.
engineering,модель,загвар,model,,Инженеры создают модель системы.
engineering,проект,төсөл,project,,Мы разрабатываем новый проект.
engineering,робот,робот,robot,,Робот работает на заводе.
engineering,конструкция,бүтэц,structure,,Конструкция должна быть прочной.

economics,рынок,зах зээл,market,,Рынок быстро развивается.
economics,прибыль,ашиг,profit,,Компания получила прибыль.
economics,банк,банк,bank,,Банк выдаёт кредит.
economics,деньги,мөнгө,money,,Деньги нужны для покупки товара.
economics,экономика,эдийн засаг,economy,,Экономика страны развивается.
economics,инвестиция,хөрөнгө оруулалт,investment,,Инвестиция помогает развивать бизнес.
economics,компания,компани,company,,Компания открыла новый офис.
economics,бизнес,бизнес,business,,Он занимается бизнесом.
economics,капитал,капитал,capital,,Капитал компании увеличился.
economics,кредит,зээл,credit,,Банк одобрил кредит.
